فارسی,بلوچی
فیلم,تامر
مالی,مالی
پیدا کردن,درگیج
خوب,شر
انگشت,لنکک
تمام کردن,هلاس
تمام شده,هلاس
آتش,اس
اول,اولی
نام کوچک,اولی نام
ماهی,ماهیگ
پنج,پنچ
اصلاح کردن,شر ئی کن
درست شد,فکس
پرچم,بیرک
فلاش,فلیش
نقص,نزوری
بی عیب و نقص,بی عیب
فرار کن,تچگ
گوشت,گوشت
پرواز کرد,بال ئی کرت
قابل انعطاف,کش دیوک
پرواز,بال
تلنگر,چپی یی کن
معاشقه,مهر کنگ
شناور,اوژناگ
سیلاب,هار
آرد,ارت
روانی,روان
گل,پل
آنفولانزا,پنشانک
روان,هبرزانت
کرکی,پژی
مایع,آپ
مه,گیتلو
مه آلود,گیتلو /گوتلو
تا کردن,پتاهگ
مردم,مردم
پیروی,رندگیری
پیگیری,رندگیری
ذیل,جهل ء
خوراک,ورگ
احمق,بی سد
احمقانه,بهدو
فوتبال,فٹبال
برای,په
مثلا,په درور
برای مثال,په درور
برای شما,تئی واست ء
ممنوع,بندش
قوت,زور
پیش بینی,پیش گوشی
پیشانی,پیشانیگ
بیرونی,دری
جنگل,جنگل
برای همیشه,دائمی
فراموشی,بی هال بو
ببخش,پهل به کن
یادم رفت,بی هال
چنگال,کنٹگ
فورم,فارم
رسمی,انچائین
خوشبختانه,وش بهتی
ثروت,وش بهت
چهل,چل
چهل و دو,چل دو
پیشرو,دیما
پرورش دادن,رزائی
جنگید,مڑگ
چهار,چار
چهارده,چارده
روباه,روبا
اسیب پذیر,نازرک
قاب,کالب
چارچوب,کارء هد
خلافکاری,ریپینگ
چیز غریب,دیوانگ
مجانی,مفت
آزادی,اجوئی
یخ زدگی,بادینگ
فرکانس,کساس
زود زود,یکوئی
مکررا,گیشی
تازه,تاجگین
جمعه,ادینگ
یخچال,سلاج
دوست,سنگت
دوستانه,دوستگی
دوستان,سنگتان
دوستی,دوستی
ترسناک,ترسناک
قورباغه,پگل
جلو,دیما
منجمد,بدیتگین
میوه,نیبگ
ناامید شده,دلپروش
سوخت,تیل
فولفولد,پلپلوڈ
کارآیی,کار
اساسی,بندری
مراسم خاکسپاری,جنازه
خنده آور,کلاگ
خز,پوست
فرنیچر,فرنیچر
بر علاوه,دگه
بازی,گوازی
شکاف,هورکین هند
گاراژ,گیراج
باغ,باگ
سیر,سیرک
دروازه,گس دپی
جمع آوری,جم
پیمانه,کساس
داد,دات
دنده,ساز سامان
جنس,جنس
عمومی,لس
بطور کلی,لس وڑان
تولید می کنند,پیدا کنگ
نسل,پدریچ
سخاوتمندانه,بکشنده
نابغه,دانا
ژانر. دسته,تهر
ملایم,نرم
اصلی,راستین
ژست,اشاره
لباس بپوش,بگیش
بلند شو,پادا
زود خوب شو,زوت وش بات ئی
روح,جن
ارواح,اناگتی
غول,بلاه
هدیه,سوگات
زنجبیل,سنڈ
دوست دختر,جنکین دوست
دادن,دیگ
شکست خوردن,یل کنگ
داده شده,دات
نگاه,دیدانک
شیشه,بلور
عینک,شیشگ
نظر اجمالی,دیم درائی
جهانی است,جهانی
غمگین,مونجا
دستکش,دستانگ
درخشش,ترپگ
چسب,گلو
رفتن,برو
برو جلو,دیما برو
گمشو,برو دور
برو بخواب,برو په نپاد
اهداف,مراد
بز,پس
خدا,هدا
خدا تو را حفظ کند,الله تئی سرا رحم بکنت
می رود,روت این
قصد دارم به,روگ
طلا,سهر
رفته,شت
میخوام,کنوک
مال,مال
بعد از چاشت بخیر,نیمروچ وش بات
خداحافظ,وش بات ئی
روز خوب,روچ وش بات
شام بخیر,بیگاه وش بات
آفرین,باز جوان
خوش تیپ,براهداری
موفق باشید,وش بهت
صبح بخیر,سهب وش بات
صبح بخیر عشق من,سهب وش بات منی جان
شب بخیر,شپ وش بات
کالاها,مال
گوگل,گوگل
مترجم گوگل,گوگل رجانک
غاز,کونج
بسیار زیبا,براهدار
شایعات,گپ رپ
گرفتم,رست
فهمیدم,ای رست
حکومت,سرکار
بدست گرفتن,بگر
مقطع تحصیلی,جمایت
به تدریج,کم کم ء
فارغ التحصیل,گریجویٹ
اعطا کردن,دیگ
اعطا شده,داتگ
انگور,انگوران
فهم,دست کپگ
چمن,کاه
ممنون,منتوار
قبر,گور
طمع,تمه
حریص,حرص
سبز,سبز
سلام کردن,سلام
احوالپرسی,سلام
با درود,درود
توری,گریڈ
غم,گم
آسیاب کردن,درشگ
خواربار,تهلگانی
داماد,سالونک
ناپاک,سرجمین
گروه,بر
رشد,ردوم زورگ
بد خلق,بد روح
گوارانی,گوهارانی
ضمانت,مانزمانی
نگهبان,دیمپان
مهمان,مهمان
راهنمایی,راهشونی
رهنما,راهشون
گناهکار,میاربار
بچه ها,مردم
سالن ورزش,جم
عادت داشتن,آدت
زیستگاه,خانه
تگرگ,ترونگل
مو,مود
نیم,نیم
سالن,دیوان جاه
دست,دست
مدیریت,دستگ
آویزان شدن,پاهو
پاتوق کردن,دائمی نندجاه
به وقوع پیوستن,بیت
اتفاق افتاد,بوتگ
خوشحالی,وشی
سالروز تولد مبارک,سالروچ مرادبات
تولدت مبارک,ترا بو تن ء روچ مراد بات
سال نو مبارک,نوکین سال مرادبات
به ندرت,سکی
زیان,تاوان
زیان آور,تاوان دیوک
هماهنگی,وت مان وتی
خشن,سک
داشتن,بوتگ
نفرت,چه کینگ
روز خوبی داشته باشید,روچ وش بات
صبحانه بخور,ناری بکن
خوش بگذره,وش بات ئی
آیا خورده ای,تو نگن وارتگ
او,ا
او دارد,ائی
او است,ا این
کله,سر
سردردی,سردرد
التیام‌بخش,دراهی
صحت,جوڑی
گوش دادن,دلگوش
شنیده شد,گوشدارگ
قلب,دل
حرارت,گرم
جنت,بهشت
سنگین,گرانین
گیج کننده,دزگٹ
قد,برزی
وارث,سیال
سرقت,ڈنگی
نگهداری,برجم
جهنم,جندم
سلام,سلام
سلام عزیز,هیلو دوست
سلام شما چه حال دارید,هلو تو چون ئی
سلام حالتون چطوره,هلو تو چی کنگ ء ئی
کلاه ایمنی,هیلمیٹ
مفید است,دردوار
سپس,همی واسته
از وی (مونث),ائی ء
گله,رمگ
اینجا,ادا
میراث,دمب
مخمصه,پشت
سلام. چطوری,سلام چی هال انت
پنهان شده است,چیرین
پنهان شدن,چیر دی
سلسله مراتب,درجه بندی
بلند,مزنین
برجسته,پدر
پیاده روی,پیادگ
تپه,کوه
از او (مذکر),ائی ء
اشاره,شون دیگ
ران,کمک
باسن,کونڈان
کرایه کردن,کراه
از او (مرد),ائی ء
هوم,هئوم
سرگرمی,هدوهناکی
صبر کن,بداری
سوراخ,ٹنگ
رخصتی,موکل
توخالی,پچین
خانه,لوگ
مشق شب,لوگ
صادق,ایماندار
صادقانه,دلپهی
عسل,بینگ
افتخار و احترام,شرپ
کاپوت ماشین,دموکا
قلاب,چامپل
هاپ,سٹگ
امید,امیت
نومید,بیامیت
افقی,پرائی ء
شیپور,کانٹ
ناگوار,ترسناک
اسب,اپس
بیمارستان,نادرهجاه
مهمان نوازی,مهمانجلی
میزبان,مهماندار
خصومت آمیز,دژمنی
گرم,گرم
هتل,هتل
ساعت ها,کلاکان
خانواده,لوگی
چطور,چی
در مورد شما چطور,تو چون ئی
چه حال دارید,تو چون ئی
شما چه حال دارید,تو چون ئی
شما امروز چه حال دارید,تو مرچی چون ئی
امروز چطوری,تو مرچی چون ئی
چطوری,تو چون ئی
چطور است,چون این
چند تا,چنچو
چه مقدار,چنچو
چند وقت,چنچو رندا
شما چند ساله هستید,تئی امر چی این
روزت چطور بود,تئی روچ چون گوستگ
شبت چطور بود,تئی شپ چون گوست
البته,انچو که
هاب,بنجاه
شوهر,مرد
بغلگیری,امباز
انسان,مردمی
منکسر,دزبندی
رطوبت,نمی
صد,سد
گرسنه,زهر گرگ
شکار,شکار
طوفان,زری شرتگ
عجله کن,اشتاپی
زخم برداشتن,پروش
شتاب,شئور
بهداشت,جانسلامتی دیمپان
من,من
من هستم,من ان
من خوبم,من وشان
من میتوانم,من کرت کنان
من نمیتوانم,من کرت نکنان
انجام میدهم,من کرت
نمی دانم,من نزانان
من نمی فهمم,من سرپد نه بوتان
من این کار را نمی کنم,من نه کنان
من نمیدانم,من نزانان
من منظور شما را متوجه نمی شوم,من تئی مراد ء سرپد نه بوتان
من شما را نمی فهمم,من تئی گپ ء سرپد نه بوتان
من نمی دانم,من سرپد نیان
حدس می زنم,منا گمان انت
من داشتم,گون من بوتگ
من دارم,منی گورا
من بوده ام,من بوتگان
امیدوارم,منا امیت انت
من میدانم,من زانان
من دوست دارم,من دوست ئی داران
من به شما علاقه دارم,من ترا دوست داران
من عاشق,من مهر کنان
من عاشق برادر بزرگم هستم,من وتی مسترین برات
من عاشق خواهر بزرگم هستم,من وتی مسترین گهار
من پدرم را دوست دارم,من وتی پت
من برادر کوچکم را دوست دارم,من وتی کسترین برات
من عاشق خواهر کوچکم هستم,من وتی کسانین گهار
من مادرم را دوست دارم,من وتی مات
من شما را دوست دارم,گون تو مهر کنان
من شما را بسیار زیاد دوست دارم,من گون تو سک مهر کنان
من هم شما را دوست دارم,من هم گون تو مهرکنان
منظورم,منی مراد
شما بیادم می آیید,من ترا گیر ارگ ء ان
دلم برات خیلی تنگ شده,منا تی وستا باز ذهیر کنت
من میبینم,گندان
من فکر می کنم,منی هیال ء
من درک میکنم,من سرپد بوتان
من می خواهم,من لوٹان
می خواهم ببینمت,من ترا گندگ لوٹان
من تو را می خواهم,من ترا لوٹان
من بودم,من اتان
من میکنم,من کنان
من خواهم بود,من بان
من خوب هستم,من وشان
من اینجا هستم,من ادا ان
من متاسفم,من پهلی لوٹان
یخ,برپ
بستنی,ائس کریم
اندیشه,هیال
ایده آل,دل تبین
همسان,یک وڑین
شناسایی,پجار
هویت,پجار
بیکار,بیکار
اگر,اگان
نادیده گرفتن,ڈالچار کنگ
مریض,ناجۆڑ
غیر مجاز,درقانودی
بیماری,ناجوڑی
ایلوکانو,للوکانو
تصور کردن,هیال
فوری,زوتین وڑان
عظیم,بی کساس
بی صبر,بیسبر
تحمیل کنند,دیما ارگ
غیر ممکن,نه بؤک
تاثیر گذاشتن,وتی نیمگ
جالب,دل
بهبود,گهترئی بکن
در مقابل,دیما
به منظور. واسه اینکه. برای اینکه,یکین ردا
نامناسب,ناراه
مشوق,سوج دیگ
درآمد,امدن
ناراحتی,سهت
اضافه,گیشی
افزایش یافت,گیش کرت
ناقابل باور,بء یقینین
آزاد,اجو
هند,هندوستان
نشان می دهد,شۆن دئیگ
بومی,دانائی
فرد,تهنائین
صنعت,کارجاه
حتمی,نادلجمی
نوزاد,شیرمچ
عفونت,انفکیشن
التهاب,سوزمان
تورم,گرانبهائی
آگاه کردن,سرپد کنگ
اطلاعات,سۆج
عناصر,چیز
وراثت,چه پشتان
اولی,بنداتی
ابتکار عمل,بندات
مجروح,ٹپی
جراحت,ٹپی
معصوم,بیگناه
نوآوری,نوکی
استعلام,پولگ
ناامن,بی ایمن
درج کنید,مان کنگ
داخل,تها
بینش,جوانی
اصرار کنید,ستم کنگ
بیخوابی,واب نیاهگ
الهام گرفتن,وازه
الهام بخشیدن,دلبڈی
نصب,انسٹال
نمونه,درور
بجای,ایشی
دستورالعمل ها,سوج
ابزار,اله
بیمه,انشورنس
سالم,برجاه
صداقت,سلامتی
پر فکر,زانتکار
هوش,هوش
هوشمند,پهمی
قصد داشتن,اراده
مورد نظر,اراده کرتگ
نیت,اراده
تعامل داشتن,گپ
اثر متقابل,گند و چار
علاقه مندی,هدوهناکی
مداخله کردن,دزمانجنی
حد واسط,میان
درونی,تهی
بین المللی,میان استمانی
کارآموزی,وضیفه
تفسیر,تپاس
مترجم,تپاسگر
قطع کردن,اڑاند
مصاحبه,گلگدار
صمیمی,هواری
در داخل,ء چه
معرفی,پجارینگ
مقدمه,پجار
درون گرا,تئی نیمگ ء
بی اعتبار,رد
اختراع کردن,جوڑ کنگ
فهرست,مال
سرمایه گذاری,سرمایه
تحقیق کردن,پٹگ
دعوت,لوٹک
صورتحساب,بیجک
دخیل بودن,هوار
دخیل,هوار
آهن,اسن
است,این
جزیره,زروان
جدا شده,پیک
مسئله,جیڑه
مسایل,جیڑهان
این,ای
این است,ایش این
بود,ای ات
خوبه,شرین
مشکلی نیست,ای شر انت
مورد,ائٹم
موارد,چیزان
آن,ایشیء
ژاکت,جیکٹ
زندان,بندی جاه
ژانویه,جنوری
فک,شاگور
حسود,‏گوجزگ
تند و سریع,چنڈ
جواهر سازی,سونار
کار,نوکری
دویدن,سرینگ
تشریک,هوار بوگ
مفصل,هوارین
شوخی,توازه
روزنامه نگار,اهوالکار
سفر,مساپری
شادی,وشی
قاضی,جج
آب میوه,شیرگ
جولای,جولائی
پرش,جتککی
ژوئن,جون
جنس اوراق و شکسته,هواری
فقط انجامش بده,بس بکن ئی
عدالت,انصاف
توجیه,جایز
کالاالیسوت,کالالیسٹ
نگهداشتن,دارگ
ادامه بده,همی وڑا برجاه بداری
نگهداری می شود,زرتگ
کتری,کیتلی
کلید,کلیت
لگد زدن,مشت جنگ
شوخی کردن,توازه
کلیه,گٹگ
کشتن,کشگ
نوع,دروشم
یک جور هایی,دروشم
محبت آمیز,مهربانی کن
مهربانی,مهروانی
پادشاه,بادشاه
بوسه,چکگ
آشپزخانه,چل
بادبادک,کانگڑو
بچه گربه,پیشی
زانو,پاد
می دانست,زانان
چاقو,کارچ
شوالیه,نائٹ
دانستن,زانگ
علم,زانت
شناخته شده,زانتگین
کنکانی,کوکانی
کریو,کریو
برچسب,مهر
کار یدی,مزور
نداشتن,نیستی
نردبان,پدیانک
خانم,زال
گذاشته,ایرین
دریاچه,مزنگورم
بره گوسفند,گٹور
لنگ,لنگ
لامپ,بتی
چشم انداز,زید
زبان,زبان
دامان,سرزان
آخرین,گڈی
آخرین موضوع ولی به همان اهمیت,گڈی بلی اسری نان
نام خانوادگی,گڈی نام
دیر,دیر
اخیرا,همی زوتان
بعدا,رندا
دومی,رندا
خنده,کندگ
خندیدن,کندگ
بوجود آوردن,دیما ارگ
خشکشویی,شودوک
قانون,کانود
وکیل,قانود زانت
خوابیدن,رکهینگ
لایه,تل
چیدمان,ترتیب
تنبل,بهیا
رهبری کردن,راهشونی
رهبر,راهشون
برگ,تاک
نشت,تنگ
خمیدن,زنڈین
یاد گرفتن,دربرگ
یادگیری,دربرگ
اجاره,لیز
کمترین,کم چه کم
چرم,پوست
برگها,موکل
رهبری,راهشونی
چپ,چپ
مجاز,کانودی
افسانه,نامی
قانونی,قانودی
قرض دادن,وام دیگ
طول,دراجی
کم,کم
درس,درونت
گذاشتن,دی
نامه,نمدی
کاهو,تاک
مرحله,حد
قدرت نفوذ,بیعانه
مسئولیت,چٹی
کتابخانه,کتابجاه
لیسیدن,چٹگ
دروغ,دروگ
زندگی,زند
رعد و برق,روشنائی
پسندیدن,انچو
احتمال دارد,مثال
به همین ترتیب,همی وڑا
خط,لائن
لینگالا,لنگالا
ارتباط دادن,لنک
شیر نر,شیر
استماع,گوشدارگ
ادبیات,لبزانک
آشغال,کسانین
کبد,جگر
زندگی می کند,زندمان
زندگی کردن,زندگ
هال,نندگ
مارمولک,کٹار
قرص نان,نگن
قریه,وام
محلی,هندی
محل,جاه
قفل کردن,کبل
تعطیلی,کبل بند
ورود به سیستم,بنڈ
دراز,دراج
کم پیدایید,وهدی گوستگ که ترا نه دیستگ
قواره,بچار
حلقه,لوپ
سست,شل
خداوند,رب
گم کردن,گار بوگ
گمشده,گار بوگ
مقدار زیادی,باز
سالن استراحت,ودارجاه
عشق,مهر
تو را دوست دارم,گون تو مهر انت
پایین تر,کمتر
وفادار,وپادار
وفاداری,وپا
شانس,بهت
خوش شانس,بهتاور
لوگاندا,لوگنڈا
بار مسافر,ارد
توده,ڈک
غذای چاشت,سبارگ
ریه ها,پپ
لوکس,ایش
دروغ گویی,دروگ بندگ
دستگاه,ماشین
ساخته شد,جوڑ کرتگ
مجله,تاک
باشکوه,مزن
خدمتکار,داشته
مایتیلی,میٹهیلی
جگرن,مزنین
اکثریت,گیشی
ساختن,جوڑ کنگ
آرایش,کزا
مذکر,مردین
مرکز خرید,مال
مرد,مردین
مدیر,بندوبستکار
دستکاری کردن,هوار توار کنگ
شیوه,داب
کتابچه راهنمای,مینوئل
چندین,باز
بسیاری از بازگشت های مبارک روز,روچ ء واتری باز باز مراد بات
مارس,مارچ
بازار,نهادی
ازدواج,اروس
متاهل,سورئین
ماسک,ماسک
استاد,واجه
ریاضی,هساب
ماده,معامله
بلوغ,برزی
می,بوت کنت
شاید,بوت کنت
من همچنان,من هم
معنی,بزان
طریق,معنا
منظور,بزانت
در عین حال,همی وهدان
اندازه گیری,کچ
معیارهای,گامگیج
پزشکی,میڈیکل
دوا,درمان
مراقبه,مراقبه
متوسط,میان ء
ملاقات کردن,رسگ
جلسه,دیوان
Meiteilon,میٹییلن
ذوب شدن,اپ بوگ
خاطرات,یاداشتان
حافظه,یاداشت
ذهنی,گنوک
تذکر,زکر
ذکر شده,زگر
مرشد,سرپد کنوک
تاجر,سوداگر
رحمت,رحم
صرفا,بس
کریسمس مبارک,میری کرسمس
بهم ریختگی,گسڑ
پیام,کلوه
بی نظم,پچل
فلز,اسن
موش,مشکان
وسط,دلگ
نیمه شب,شپ نیم
ممکن,بوت کنت
خفیف,معتدل
نقطه عطف,بنیاد
نظامی,لشکر
شیر,شیر
میلیون,میلیون
طرز فکر,فکر
از من,منی
مخلوط شدن,وت مان وت هواری
جزئی,کسانین
دقیقه,دامان
دقایق,دامان
معجزه,معجزه
آینه,ادینک
متفرقه,دگه دگه
شیطون,بدماش
بینوا,بزگ
بدبختی,بزگی
از دست دادن,یله کنگ
شما را یاد میکنم,تو گیر کائی
گم شده,بیگواه
ماموریت,مشن
غبار,مج
اشتباه,ردی
میزو,میزو
سیار,موبائل
مسخره کردن,توازه
مدل,ماڈل
در حد متوسط,دل سپاه
نوین,نوکین
فروتن,آجز
قالب,مان کنگ
خال,نشان
مادر,مات
لحظه,ساعت
دوشنبه,دوشمبی
پول,زر
نظارت کنید,چاروگدارکنوک
میمون,شادو
دهان,ماه
مزاج,تب
ماه,ماه
اخلاقی,مردمگری
بیشتر,دگه
صبح,سهب
رهن,رهن
اغلب,گیشتر
حرکت,جنز
انگیزه,دلبڈی
کوه,کوه
جنبش,جنز
فیلم سینما,تامر
بسیار,باز
گل و لای,هاک
لیوان,پیالگ
ماهیچه,کالگ
موزه,میوزیم
قارچ,کٹینگ
موسیقی,ساز
ضروری,الم
بی صدا,بی توار
متقابل,وت مان وتی
عزیزم,منی دوستگین
دوست من,منی دوست
هواناو من پر از مارماهی است,منی اوور کرافٹ هیلزء چه پر انت
عشق من,منی مهر
اسم من هست,منی نام این
باعث افتخار من,منی وش بهتی این
خودم,من وت
اسرار امیز,پر اسرار
رمز و راز,اسرار
اسطوره,میته
ناخن,کیلا
آدم ساده,بولی
نام,نام
روایت,اسپانک
تنگ,تنگ
مردار,گسڑین
ملی,راجی
ملیت,وتن
طبیعی,ابرمی
طبیعت,ابرم
حالت تهوع,هوکارگ
در نزدیکی,نزیکین
گردن,گردن
گردن بند,گٹی
نیاز,گزر
منفی,چپین
بی توجهی,رد
مذاکره کنند,گپ
همسایه,همساهگ
محله,همساهگ
هیچ یک,نان که
خواهرزاده,برازاتک
نرد,گنوک
ناآرام,ترس
لانه,کدو
خالص,دام
شبکه,نیٹورک
خنثی,بیپلو
به هیچ وجه,کدی نان
هرگز تسلیم نشوید,کدی همت
بیخیال,چشین گپی نه این
جدید,نوکین
اخبار,هال
بعدی,دومی
جنب,ایشی
از ملاقات با شما خرسندم,شر بوت که ترا دیست
شب,شپ
کابوس,ترسناکین واب
نه,نو
نوزده,نوزده
نود,نود
هیچ کس,کسی نان
سروصدا,شور
پر سر و صدا,کوکار
هیچ,کس نه این
ظهر,نیمروچ
نخیر,نان
شمال,گوریچان
بینی,پۆنز
نوستالژیک,کوهنین یات
نیست,نن
اصلا,هچ وڑا نان
بد نیست,هراب نه انت
الان نه,انون نان
تا حال نه,انوگ
توجه داشته باشید,نوٹ
اشاره شد,یات کرت
یادداشت,گشتاک
متوجه شد,دل
اسم,نامگال
اسم ها,نام
رمان,گدار
نوامبر,نومبر
این روزها,مروچان
بی احساس,سن
عدد,لمبر
پرستار,نرس
مهره,دام
جوز هندی,جورینک
تغذیه,ردوم
سوگند,سوگند
چاقی,زنڈی
تابعداری,هذمتگاری
مفعول,چیز
مشاهده,گلگ
رعایت کنید,دیدانک
غرق,گنوک
وسواس,مهر
منسوخ شده,وهد شوتگ
به دست آمده,گپتگ
واضح,تچک
واضحا,پدرین
بعضی وقتها,اناگت ء
شغل,زورگیری
وقوع,بوگ
رخ داده است,بوت
رخ می دهد,بیت
اقیانوس,زر
اکتبر,اکتوبر
عجیب,دریگ
کاملا,هنچو
خاموش,بند
توهین آمیز,زورین
دفتر,کارگس
غالبا,گیشتر
آه,اوه
اوه واقعا,او راستی ء
روغن,ائل
باشه عزیزم,شرین جان
باشه عشقم,شرین منی جان
خوب است عزیز,شر مهروان
خوب عزیز,شرین مهروان
خوب است عشق من,شرین منی جان
پیر,کوهنین
بالای,سرا
یکبار,یک رندی
یک زبان هرگز کافی نیست,یک زبانی کدی هم بس نه بیت
پیاز,پیماز
برخط,ان لائن
فقط,بس
باز,پچ
نظر,لیکه
فرصت ها,موهان
فرصت,موه
مخالف,چپ
خوش بینانه,پر امیت
گزینه,واک
اختیاری,اختیاری
کینو,موسمبی
فرمایش,هکم
عادی,لس
سازمان,گل
گرایش,سرپدی
اصل و نسب,بن
اورومو,اوڑوما
یتیم,چوره
در غیر آن,دومی وڑا
باید,لوٹیت
از ما,مئی
ماموریت ما این است که همه را در همه جا قادر به درک جهان و بیان خود در سراسر زبان ها کنیم.,مئی مشن:هریکی ء را، دنیا ء هر هند ء سرپد بوگ ء وتی زبانان درشان کنگ ء قابل جوڑ کنگ انت۔
ماموریت ما: سازماندهی اطلاعات جهان و قابل دسترس و مفید ساختن آن برای جهانیان.,مئی مشن: دنیا ء سرپدیان یکجاه کنانء اشان ء جهانی تک ءرسینگ ء پائدگی جوڑ کنگ انت۔
نتیجه,اسر
برونگرا,دزکش بوک
پریز,دکان
طرح کلی,خاکه
استثنایی,باز جوان
فر,ترون
در آنجا,اودا
بصورت کل,سرجمین وڑا
غلبه بر,سرء گرگ
بیش از حد فکر کردن,گیش جیڑگ
زیر تاثیر,ایردست
خردکننده,ایر پروشگ
مقروض بودن,دیگی ان
جغد,گگو
خود,وتی
مالک,مالک
سرعت,هٹ
بسته,پٹول
بسته بندی,پیکیج
پرداخت شده,ادا کرت
رنگ کردن,رنگ
رنگ آمیزی,عکس کشی
رنگ پریده,زرد
نخل,مچ
ماهی تابه,درد
همه گیری,جهانی هوپ
شلوار,هسگ
کاغذ,کاگد
بهشت,بهشت
موازی,یکشل ء
عفو,پهلی
پدرومادر,مات
پارک,پارک
طوطی,مٹو
جعفری,اجوائن کراسانی
شرکت کردن,بهر زورگ
مشخص,هاسین وڑان
به ویژه,هاسین وڑان
شریک,همراه
مهمانی,دیوان
کامیابی,پاس
گذر,گوزگ
گذشت,گوازێنت
پرشور,هدوناک
منفعل,ناکارین
کلمه عبور,پاس ورڈ
گذشته,گوست
پچ,پیچ
راه,راه
تاسفبار,هرابی حالت
مکث,دستی دارگ
پیاده رو,فرش
پرداخت,ماجب
آرامش,ایمنی
صلح آمیز,ایمن
هلو,شپتالو
اوج,تیهر
گلابی,ناشپاتی
نخود فرنگی,مٹر
ادرار,مس
پوست کندن,پوست
همتا,همراه
همسالان,همراه
خودکار,کلم
مداد,پنسن
در انتظار,اوشتاتگین
فلفل,پلپل
درک,سرپد بوگ
تصور,لیکه
دائمی,دائمی
مجوز,اجازت
استقامت,دلجم
مداوم,یکوئی
شخصی,زاتی
دیدگاه,لیکه
قانع کردن,منارین
منحرف,بی سدین
حیوان خانگی,گس دپی دلوت
فاز,بهر
پدیده,جاور
فلسفه,تب زانتی
تلفن,تلفن
عکس,عکس
عبارت,گالبند
فزیکی,بدنی
قطعه,بهر
قطعات,ٹکر
خوک,هوک
کبوتر,کپودر
بالش,سرجاه
خلبان,بالگر
سنجاق,سچن
آناناس,انانس
رنگ صورتی,گلابی
ترحم,اپسوز
مکان ها,جاگهان
طاعون,طاعون
هموار,سادگ
پلان,اراده
طیاره,بالی گراب
نبات,درچک
گیاهان,درچکان
بشقاب,تالی
سکو,فلیٹ فارم
بازی کردن,گوازی کنگ
مسرور کننده,وش
لطفا,مهروانی
راضی,وشنود
لذت,وشی
پلاگین,پلگ
آلو,شپتالو
لوله کش,پلمبر
جمع,باز
پادکست,پوڈکاسٹ
شعر,لچه
نقطه,نشان
سم,زهر
پلیس,پولیس
خط مشی,پالیسی
با اخلاق,شهم
آلودگی,سیل
حوضچه,کمب
استخر,تلاوگ
مدفوع,گوت
غریب,وار
گوشت خوک,لدیگ ءء گوشت
فرنی,دلیه
بندر,بندن
موقف,جاه
مثبت,جوانین
در اختیار داشتن,مالک
مالکیت,هستی
مضافالیه,مالک
عقب انداختن,مهتل
سیب زمینی,پٹاٹوک
ممکنه,زکت
پوند,پاؤنڈ
فقر,دزتنگی
قدرتمند,زوراک
کاربردی,تجربت
نماز خواندن,دعا
با ارزش,تنگه
ترجیح دادن,دلگوش دیگ
ترجیح,برزلیکهی
حامله,لاپ پر
حق بیمه,پریمیم
آمادگی,گیشێنگ
آماده شده,تیار
حرف اضافه,هوارگال
حال,هستین
حفظ,والینگ
رئیس جمهور,سرکماش
مطبوعات,رسانکدر
فشار,زور
تظاهر,پیشدارگی
جلوگیری,دارگ
غرور,پهر
کشیش,پادری
اولیه,بنگێجی
نخست,جوانین
شاهزاده,شاهزادگ
سرمعلم,سرور
قبلا,پیسرا
الویت,برزلیکهی
حریم خصوصی,راز
خصوصی,جندی
امتیاز,شرپ
روند,کار راهبند
ادامه دهید,دیما برو
تولید کردن,شگام
تولید,برورد
حرفه,کسب
حرفه ای,کارزانت
سود,پائدگ
پیشرفت,دیمروی
پروژه,پروجیکٹ
وعده,کئول
تقویه کردن,دیمروی دیگ
ترویج,دیمروی
بروقت,زوتین وڑان
دمر,دیم‌ په‌ چیر
ضمایر,پنامگال
تلفظ,گالتوار
ثبوت,سبوت
بشکل درست,شری
خواص,مڈی
ملکیت,جائیداد
پینشهاد,شئور
رفاه,وشهالی
موفق,وشهال
مفتخر,پهر
ثابت کردن,بگیشین
فراهمی,به دی
ارائه شده است,پجارینتگان
استان,صوبه
تدارک,پجارینگ
کش کردن,ارژپ
کدو حلوایی,کوسیچ
وقت شناس,وهد
شاگرد,شاگرد
خریداری,بها زورگ
بادنجانی,جمو
کیف پول,بگل جول
دنبال کردن,سرء گرگ
دستیابی,گرگ
فشار دادن,تیلانک
صلاحیت,وانگ
کیفیت,هاسیت
قرنطین,چیردیگ
نزاع,مڑگ
ربع,چارک
کچوا,کچوا
ملکه,بانک
پرس و جو,جست
سوال,جست
قطار,کول
به سرعت,زوتان
لحاف,لیپ
ترک کردن,یل کن
نقل قول,گشتن
نقل قول ها,بتل
خرگوش,کرگوش
خشم,زهر
باران,هور
ترفیع,چست کنگ
مطرح کرد,چست کرت
دوید,تچ
یکباره,سر سیٹی
به طور سریع,ترندی
بسیار کم,نایاب
کهیر,سهردانگ
موش صحرایی,مشک
نرخ,نهاد
بلکه,بلکین
نسبت,تناسب
گویا,دانائی
رسیده است,سربوتان
واکنش,پدکرد
خواندن,وانگ
آماده,آمادگ
حقیقی,راستین
واقعیت,گواچن
احساس کردن,مارشت
عقب,پشت ء
دلیل,سوب
معقول,شرین
به خاطر آوردن,یات دارگ
دریافت شد,رست
اخیر,انوگین
پذیرایی,دیمراه
دستور آشپزی,پرمان
بی پروا,بی سد
